Processed: Particle 2, Iteration 0, Reevaluation 1001, port1237
Processed: Particle 1, Iteration 0, Reevaluation 1001, port1236
Processed: Particle 3, Iteration 0, Reevaluation 1001, port1238
Processed: Particle 5, Iteration 0, Reevaluation 1001, port1240
Processed: Particle 4, Iteration 0, Reevaluation 1001, port1239
Processed: Particle 8, Iteration 0, Reevaluation 1001, port1243
Processed: Particle 7, Iteration 0, Reevaluation 1001, port1242
Processed: Particle 6, Iteration 0, Reevaluation 1001, port1241
Processed: Particle 10, Iteration 0, Reevaluation 1001, port1245
Processed: Particle 11, Iteration 0, Reevaluation 1001, port1246
Processed: Particle 12, Iteration 0, Reevaluation 1001, port1247
Processed: Particle 9, Iteration 0, Reevaluation 1001, port1244
Processed: Particle 13, Iteration 0, Reevaluation 1001, port1248
Processed: Particle 14, Iteration 0, Reevaluation 1001, port1249
Processed: Particle 15, Iteration 0, Reevaluation 1001, port1250
Processed: Particle 17, Iteration 0, Reevaluation 1001, port1252
Processed: Particle 18, Iteration 0, Reevaluation 1001, port1253
Processed: Particle 16, Iteration 0, Reevaluation 1001, port1251
Processed: Particle 19, Iteration 0, Reevaluation 1001, port1254
Processed: Particle 20, Iteration 0, Reevaluation 1001, port1255
Processed: Particle 21, Iteration 0, Reevaluation 1001, port1256
Processed: Particle 23, Iteration 0, Reevaluation 1001, port1258
Processed: Particle 24, Iteration 0, Reevaluation 1001, port1259
Processed: Particle 25, Iteration 0, Reevaluation 1001, port1260
Error: Particle 22, Iteration 0, Reevaluation 1001, port1257
Processed: Particle 1, Iteration 0, Reevaluation 1002, port1237
Processed: Particle 3, Iteration 0, Reevaluation 1002, port1239
Processed: Particle 2, Iteration 0, Reevaluation 1002, port1238
Processed: Particle 4, Iteration 0, Reevaluation 1002, port1240
Processed: Particle 5, Iteration 0, Reevaluation 1002, port1241
Processed: Particle 6, Iteration 0, Reevaluation 1002, port1242
Processed: Particle 7, Iteration 0, Reevaluation 1002, port1243
Processed: Particle 9, Iteration 0, Reevaluation 1002, port1245
Processed: Particle 10, Iteration 0, Reevaluation 1002, port1246
Processed: Particle 8, Iteration 0, Reevaluation 1002, port1244
Processed: Particle 12, Iteration 0, Reevaluation 1002, port1248
Processed: Particle 14, Iteration 0, Reevaluation 1002, port1250
Processed: Particle 11, Iteration 0, Reevaluation 1002, port1247
Processed: Particle 13, Iteration 0, Reevaluation 1002, port1249
Processed: Particle 15, Iteration 0, Reevaluation 1002, port1251
Processed: Particle 16, Iteration 0, Reevaluation 1002, port1252
Processed: Particle 17, Iteration 0, Reevaluation 1002, port1253
Processed: Particle 19, Iteration 0, Reevaluation 1002, port1255
Processed: Particle 18, Iteration 0, Reevaluation 1002, port1254
Processed: Particle 20, Iteration 0, Reevaluation 1002, port1256
Processed: Particle 21, Iteration 0, Reevaluation 1002, port1257
Processed: Particle 22, Iteration 0, Reevaluation 1002, port1258
Processed: Particle 23, Iteration 0, Reevaluation 1002, port1259
Processed: Particle 24, Iteration 0, Reevaluation 1002, port1260
Processed: Particle 25, Iteration 0, Reevaluation 1002, port1261
Processed: Particle 2, Iteration 0, Reevaluation 1003, port1239
Processed: Particle 1, Iteration 0, Reevaluation 1003, port1238
Processed: Particle 5, Iteration 0, Reevaluation 1003, port1242
Processed: Particle 4, Iteration 0, Reevaluation 1003, port1241
Processed: Particle 3, Iteration 0, Reevaluation 1003, port1240
Processed: Particle 8, Iteration 0, Reevaluation 1003, port1245
Processed: Particle 7, Iteration 0, Reevaluation 1003, port1244
Processed: Particle 6, Iteration 0, Reevaluation 1003, port1243
Processed: Particle 9, Iteration 0, Reevaluation 1003, port1246
Processed: Particle 12, Iteration 0, Reevaluation 1003, port1249
Processed: Particle 11, Iteration 0, Reevaluation 1003, port1248
Processed: Particle 14, Iteration 0, Reevaluation 1003, port1251
Processed: Particle 13, Iteration 0, Reevaluation 1003, port1250
Processed: Particle 10, Iteration 0, Reevaluation 1003, port1247
Processed: Particle 15, Iteration 0, Reevaluation 1003, port1252
Processed: Particle 17, Iteration 0, Reevaluation 1003, port1254
Processed: Particle 18, Iteration 0, Reevaluation 1003, port1255
Processed: Particle 16, Iteration 0, Reevaluation 1003, port1253
Processed: Particle 19, Iteration 0, Reevaluation 1003, port1256
Processed: Particle 20, Iteration 0, Reevaluation 1003, port1257
Processed: Particle 22, Iteration 0, Reevaluation 1003, port1259
Processed: Particle 21, Iteration 0, Reevaluation 1003, port1258
Processed: Particle 23, Iteration 0, Reevaluation 1003, port1260
Processed: Particle 25, Iteration 0, Reevaluation 1003, port1262
