,Iteration,Particle,Seed,Fitness_vals,p_best_val,g_best_val,position,velocity,g_position
0,0,1,1,"[9.70523, 3.30322, 1.29497, 1.57867, 32.4469, 1.7274, 32.6536, 31.7254, 5.66035, 1.7333, 1.29845, 31.7649, 2.64226, 1.34724, 48.4255, 0.489375, 1.73072, 45.8504, 11.0162, 1.4238]",inf,inf,[1846.77189538 3725.20422755 2727.80363522   89.67674742  269.408367  ],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
1,0,2,1,"[83.5574, 2.17027, 0.586104, 0.142912, 84.8859, 0.9762, 27.1474, 97.1529, 0.368679, 0.772964]",inf,inf,"[8.38389029e+03 1.37043900e+04 2.02226125e+03 1.37811744e+02
 1.36937966e+01]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
2,0,3,1,"[54.111, 1.6582, 1.5003, 1.44587, 57.8972, 6.15345, 2.37988, 41.1987, 1.35137, 4.37213]",inf,inf,"[13409.35020357  8346.09604734  3793.44914223    64.03869386
    99.05074454]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
3,0,4,1,"[3.9351, 1.02692, 2.72081, 1.16202, 34.2537, 4.63785, 4.7481, 59.7491, 4.99274, 1.89518]",inf,inf,"[16014.89137351 19365.23151439  2567.1208908    119.23226157
   438.19457615]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
4,0,5,1,"[0.652595, 0.425101, 0.499166, 0.804013, 36.7502, 0.336157, 33.4727, 29.82, 2.02566, 0.724284]",inf,inf,"[17892.13327008  1700.8842274   1195.27391616    66.98304196
   439.07125171]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
5,0,6,1,"[4.47772, 100.0, 21.63, 11.7513, 42.4059, 11.335, 10.0202, 46.1155, 20.0172, 100.0]",inf,inf,[1966.93667666 8422.1525001  5789.44765075  103.3165285   345.93855698],[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
6,0,7,1,"[8.2119, 2.55458, 12.491, 3.71887, 44.3598, 0.826575, 26.7496, 41.6133, 3.65265, 7.578]",inf,inf,"[ 6310.31262012 13730.01855363  5173.12835949    51.82882773
   375.07215747]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
7,0,8,1,"[0.945345, 1.03175, 0.687635, 1.03048, 28.67, 0.636473, 0.931823, 48.3769, 0.860614, 0.505893, 0.791997, 66.7459, 0.674158, 0.973792, 108.076, 38.0886, 1.56118, 9.53805, 97.4859, 0.983212]",inf,inf,"[19777.22177813 14963.3130876   2402.21996032   128.92793285
    51.61300329]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
8,0,9,1,"[60.9311, 7.01355, 0.849908, 1.03095, 48.0472, 3.59068, 1.11283, 64.1737, 0.892671, 82.7205]",inf,inf,"[ 8957.87052352 18171.91006186  2468.07074187    78.77753386
    65.01428606]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
9,0,10,1,"[8.52428, 48.6628, 0.967119, 2.18842, 67.8329, 0.798978, 6.5289, 13.6743, 1.53129, 0.802905]",inf,inf,"[  387.33915741 13576.7106588   2058.14058       76.55466594
   245.78657964]",[0. 0. 0. 0. 0.],"[ 8340.44009405 14406.48986884  1000.57187409    80.23325726
    73.37794541]"
